
0;mojombo;grit;Tom Preston-Werner;Mon Oct 29 12:37:16 BRST 2007;2873;48;189;2;187;0;4;18390;11;450;1852;7954;0;0;0%;0%;0%

1;rubinius;rubinius;Rubinius;Sat Jan 12 14:46:52 BRST 2008;2798;553;3495;206;3289;0;0;0;0;582;2476;205366;0;0;0%;0%;0%

2;mojombo;god;Tom Preston-Werner;Sun Jan 13 03:16:23 BRST 2008;2797;82;220;101;119;0;0;18390;11;440;1829;3122;0;0;0%;0%;0%

3;defunkt;ambition;Chris Wanstrath;Mon Jan 14 04:28:56 BRST 2008;2796;3;2;2;0;0;0;14625;208;13;141;473;0;0;0%;0%;0%

4;technoweenie;restful-authentication;risk danger olson;Mon Jan 14 12:44:23 BRST 2008;2796;39;33;28;5;0;0;2166;17;275;1635;1208;0;0;0%;0%;0%

5;technoweenie;attachment_fu;risk danger olson;Mon Jan 14 12:51:56 BRST 2008;2796;36;52;36;16;0;0;2166;17;291;1033;1008;0;0;0%;0%;0%

6;topfunky;bong;Geoffrey Grosenbach;Tue Jan 15 03:42:45 BRST 2008;2795;2;2;2;0;0;0;1080;199;4;60;123;0;0;0%;0%;0%

7;anotherjesse;s3;Jesse Andrews;Tue Jan 15 06:09:42 BRST 2008;2795;9;2;2;0;0;0;120;31;6;22;393;0;0;0%;0%;0%

8;anotherjesse;taboo;Jesse Andrews;Tue Jan 15 06:13:02 BRST 2008;2795;14;1;1;0;0;0;120;31;9;20;781;0;0;0%;0%;0%

9;anotherjesse;foxtracs;Jesse Andrews;Tue Jan 15 06:18:59 BRST 2008;2795;4;2;2;0;0;0;120;31;0;4;135;0;0;0%;0%;0%

10;macournoyer;thin;Marc-André Cournoyer;Sat Jan 19 03:39:04 BRST 2008;2791;81;278;75;203;0;0;732;51;242;1647;3306;0;0;0%;0%;0%

11;jamesgolick;resource_controller;James Golick;Sat Jan 19 20:55:05 BRST 2008;2791;10;12;11;1;0;0;543;30;91;508;776;0;0;0%;0%;0%

12;jamesgolick;enum_field;James Golick;Mon Jan 21 23:54:15 BRST 2008;2788;4;3;2;1;0;0;543;30;13;54;131;0;0;0%;0%;0%

13;defunkt;cache_fu;Chris Wanstrath;Tue Jan 22 22:28:10 BRST 2008;2788;8;6;6;0;0;0;14625;208;67;262;105;0;0;0%;0%;0%

14;bmizerany;sinatra;Blake Mizerany;Thu Jan 24 02:49:54 BRST 2008;2786;168;7;2;5;0;0;961;16;1278;890;8111;0;0;0%;0%;0%

15;defunkt;mofo;Chris Wanstrath;Sun Jan 27 05:06:40 BRST 2008;2783;5;1;0;1;0;0;14625;208;16;88;223;0;0;0%;0%;0%

16;schacon;ruby-git;Scott Chacon;Sun Jan 27 15:23:23 BRST 2008;2783;46;243;112;131;0;0;10410;21;307;983;3181;0;0;0%;0%;0%

17;abhay;calais;Abhay Kumar;Tue Jan 29 02:10:12 BRST 2008;2781;15;13;6;7;0;0;34;0;50;136;349;0;0;0%;0%;0%

18;mojombo;chronic;Tom Preston-Werner;Tue Jan 29 04:48:49 BRST 2008;2781;57;312;90;222;26;26;18390;11;324;2289;1476;0;0;0%;0%;0%

19;sr;git-wiki;Simon Rozet;Tue Jan 29 18:39:42 BRST 2008;2781;8;10;7;3;0;0;426;157;237;518;2301;0;0;0%;0%;0%

20;queso;signal-wiki;Josh Owens;Wed Jan 30 17:57:12 BRST 2008;2780;7;2;2;0;0;0;203;21;12;69;3438;0;0;0%;0%;0%

