
LABEL;NEED FEEDBACK;1
LABEL;DOC;69
LABEL;ONHOLD;1
LABEL;ACTIVERECORD;2
LABEL;ACTIVEMODEL;1
LABEL;ACTIVEJOB;1
LABEL;5.0.0;24
LABEL;ATTACHED PR;1
LABEL;ACTIONPACK;1
LABEL;NEED WORK;1
LABEL;POSTGRESQL;2
LABEL;4.2.5;1
LABEL;RAILTIES;1
LABEL;ENGINES;1
LABEL;ACTIONVIEW;1
LABEL;ACTIVESUPPORT;1
LABEL;REGRESSION;33
LABEL;ACTIONMAILER;1
LABEL;4.2.4;1
LABEL;IMPORTANT;13
LABEL;JRUBY;3
LABEL;WITH REPRODUCTION STEPS;1
LABEL;GSOC;1
LABEL;4.1.13;1
LABEL;4.2.3;1
LABEL;RELEASE BLOCKER;1
LABEL;STALE;2
LABEL;ENUM;1
LABEL;RUBINIUS;1
LABEL;ASSET PIPELINE;1
LABEL;PINNED;1
LABEL;4.1.12;1
LABEL;OPENACADEMY;1
LABEL;I18N;3
LABEL;4.1.14;1
LABEL;4.2.1;1
LABEL;4.1.10;1
LABEL;ROUTING;5
LABEL;4.0.13;1
LABEL;4.1.9;1
LABEL;4.2.0;1
LABEL;SECURITY;1
LABEL;4.1.8;1
LABEL;4.1.6;1
LABEL;4.0.10;1
LABEL;4.0.6;1
LABEL;4.1.2;1
LABEL;THIRD PARTY;1
LABEL;4.1.0;1
LABEL;4.0.4;1
LABEL;4.0.1;1
LABEL;3.2.15;1
LABEL;4.0.0;9
LABEL;3.2.14;1
LABEL;3.2.13;1
LABEL;3.2.10;1
LABEL;3.2.9;1
LABEL;3.2.8;1
LABEL;3.2.7;1
LABEL;3.2.6;1
LABEL;3.2.3;1
LABEL;3.2.2;1
LABEL;3.2.4;1
LABEL;3.2.1;1
LABEL;RAILS 3.2;1
LABEL;3.1.4;1
LABEL;3.1.3;1
LABEL;3.0.11;1
LABEL;3.1.1;1
LABEL;3.1.5;1
LABEL;RAILS 3.1;1
LABEL;3.0.10;1
LABEL;3.0.9;1
LABEL;3.0.13;1
LABEL;RAILS 3.0.8;1
LABEL;0.4;1
LABEL;NEEDS VERIFICATION;1
LABEL;TODO;32
LABEL;CANTFIX;1
LABEL;RUBY-PROCESSING-2.6.14;1
LABEL;WINDOWS;3
LABEL;WONT FIX;39
LABEL;INVALID;30
LABEL;2.6.5;1
LABEL;2.6.1;1
LABEL;ENHANCEMENT;117
LABEL;QUESTION;43
LABEL;DISCUSS;19
LABEL;FEATURE;354
LABEL;BUG;742
LABEL;INTERMITTENT;1
LABEL;3.1.0;5
LABEL;3.0.6;1
LABEL;RESTRUCTURE;1
LABEL;EXTINCT;3
LABEL;VERSION 3;1
LABEL;CONFLICT;1
LABEL;TEST;3
LABEL;SDFSD;1
LABEL;COMPATIBILITY;9
LABEL;CODE;24
LABEL;V3;1
LABEL;CODING STANDARDS;1
LABEL;STYLING PROBLEM;1
LABEL;QUERY;1
LABEL;BLOAT;1
LABEL;PENDING-REPLY;1
LABEL;MATCHERS;1
LABEL;PATCH;25
LABEL;CONTEXT;1
LABEL;INVESTIGATE;30
LABEL;REFACTOR;13
LABEL;HELP WANTED;2
LABEL;2.1;3
LABEL;3.0;1
LABEL;2.0.X;1
LABEL;NEEDS TESTS;1
LABEL;WIP;2
LABEL;NEW BEHAVIOUR;1
LABEL;1.3;1
LABEL;EASY;1
LABEL;1.3.3;1
LABEL;1.3.2;2
LABEL;1.3.0;1
LABEL;1.2.2;1
LABEL;1.2;1
LABEL;4-0-STABLE;1
LABEL;TYPUS FOR RAILS 4 GEM;1
LABEL;WISH;11
LABEL;ON HOLD;3
LABEL;V3.2.X;1
LABEL;V3.1.X;1
LABEL;TYPUS 3.1.0;1
LABEL;V3.0.X;1
LABEL;FRIENDLYID 4.0;1
LABEL;IN PROGRESS;5
LABEL;5.0;1
LABEL;RAILS;6
LABEL;LOOKING FOR HELP;1
LABEL;READ THIS;1
LABEL;3.3.0;1
LABEL;FEEDBACK;5
LABEL;NON-BUG;1
LABEL;DUPLICATE;7
LABEL;2.2.2;1
LABEL;MECHANIZE 2.1;1
LABEL;UNCLEAR;1
LABEL;BAD SERVER;1
LABEL;2.0;18
LABEL;FUTURE;2
LABEL;INTERNAL;1
LABEL;0.5.3;1
LABEL;0.5.2;1
LABEL;0.5.1;1
LABEL;REQUEST;32
LABEL;CSS;1
LABEL;NEEDS FOLLOW-UP;1
LABEL;1.5.2;1
LABEL;1.6.0;1
LABEL;CHROME;1
LABEL;SPEC;1
LABEL;1.5.3;1
LABEL;INCOMPLETE;1
LABEL;OPTIMIZATION;1
LABEL;MOBILE;1
LABEL;2.0.0;22
LABEL;1.7.0;1
LABEL;WORKSFORME;1
LABEL;1.5.1;1
LABEL;IE;1
LABEL;1.5.0;1
LABEL;API;7
LABEL;BOUNTY;1
LABEL;DEPRECATION;1
LABEL;SEMANTIC;1
LABEL;1.2.6;1
LABEL;1.4.5;1
LABEL;TASK;6
LABEL;1.4.4;1
LABEL;LINT;1
LABEL;1.4.3;1
LABEL;1.4.2;1
LABEL;1.4.1;5
LABEL;CORE 2.0 ALPHA 1;1
LABEL;CORE 1.4.0;1
LABEL;CORE 1.3.3;1
LABEL;REQUIRES INVESTIGATION;1
LABEL;CANNOT REPRODUDE;1
LABEL;NICE TO HAVE;1
LABEL;@TAYLOR LUK;1
LABEL;|M| 0•3 RELEASE;1
LABEL;|S| RESOLVED;1
LABEL;FILTER;1
LABEL;NAMED ARGUMENT;1
LABEL;PARSER;51
LABEL;VARIABLE;1
