
Ramarren;cl-geometry;closed;David Chkhikvadze;Sun May 31 18:48:08 BRT 2015;Fri Jun 05 06:20:09 BRT 2015;4;
sudara;alonetone;closed;Sudara;Mon Dec 23 03:27:45 BRST 2013;Wed Jan 21 01:44:21 BRST 2015;393;
sudara;alonetone;open;Sudara;Sun Dec 15 04:24:31 BRST 2013;null;635;
sudara;alonetone;closed;Sudara;Mon Dec 02 21:37:02 BRST 2013;Wed Dec 04 23:16:58 BRST 2013;2;
sudara;alonetone;closed;montgomeru;Mon Nov 25 20:27:00 BRST 2013;Mon Dec 09 17:23:12 BRST 2013;13;
sudara;alonetone;closed;montgomeru;Thu Nov 21 23:21:19 BRST 2013;Fri Nov 22 05:27:44 BRST 2013;0;
sudara;alonetone;closed;montgomeru;Thu Nov 21 23:19:49 BRST 2013;Wed Dec 04 23:30:45 BRST 2013;13;
sudara;alonetone;open;montgomeru;Thu Nov 21 23:14:30 BRST 2013;null;658;
sudara;alonetone;closed;montgomeru;Thu Nov 21 23:11:58 BRST 2013;Thu Nov 21 23:19:22 BRST 2013;0;
sudara;alonetone;closed;montgomeru;Thu Nov 21 23:10:37 BRST 2013;Mon Dec 09 17:23:24 BRST 2013;17;
sudara;alonetone;closed;montgomeru;Tue Nov 19 03:02:55 BRST 2013;Wed Dec 04 23:21:03 BRST 2013;15;
sudara;alonetone;closed;Sudara;Tue Nov 19 00:58:30 BRST 2013;Thu Feb 26 18:44:22 BRT 2015;464;
sudara;alonetone;open;Sudara;Tue Nov 19 00:45:46 BRST 2013;null;661;
sudara;alonetone;closed;Sudara;Sun Nov 17 16:06:50 BRST 2013;Wed Jan 21 01:57:15 BRST 2015;429;
sudara;alonetone;open;Sudara;Sun Nov 17 15:52:12 BRST 2013;null;662;
sudara;alonetone;closed;montgomeru;Sun Nov 17 00:24:43 BRST 2013;Tue Nov 19 00:44:54 BRST 2013;2;
sudara;alonetone;closed;montgomeru;Sat Nov 16 20:05:02 BRST 2013;Wed Dec 04 23:18:33 BRST 2013;18;
sudara;alonetone;closed;Sudara;Thu Nov 14 15:39:37 BRST 2013;Thu Nov 14 20:08:37 BRST 2013;0;
sudara;alonetone;closed;montgomeru;Wed Nov 13 19:58:44 BRST 2013;Thu Nov 14 17:32:23 BRST 2013;0;
sudara;alonetone;closed;montgomeru;Wed Nov 13 19:20:30 BRST 2013;Wed Jan 21 01:51:00 BRST 2015;433;
sudara;alonetone;closed;montgomeru;Wed Nov 13 18:48:09 BRST 2013;Thu Nov 14 17:32:33 BRST 2013;0;
sudara;alonetone;open;montgomeru;Wed Nov 13 00:33:45 BRST 2013;null;667;
sudara;alonetone;closed;Sudara;Tue Nov 12 17:16:50 BRST 2013;Tue Nov 12 22:02:16 BRST 2013;0;
sudara;alonetone;closed;Sudara;Tue Nov 12 15:00:55 BRST 2013;Thu Nov 14 17:34:15 BRST 2013;2;
sudara;alonetone;closed;Sudara;Tue Nov 12 12:44:35 BRST 2013;Tue Nov 12 15:01:07 BRST 2013;0;
sudara;alonetone;closed;Sudara;Tue Nov 12 12:23:28 BRST 2013;Tue Nov 12 15:01:19 BRST 2013;0;
sudara;alonetone;closed;Sudara;Tue Nov 12 12:04:22 BRST 2013;Fri Feb 27 12:53:33 BRT 2015;472;
sudara;alonetone;open;Sudara;Tue Nov 12 12:04:08 BRST 2013;null;667;
sudara;alonetone;closed;Sudara;Tue Nov 12 00:43:25 BRST 2013;Tue Nov 12 12:14:19 BRST 2013;0;
sudara;alonetone;open;Sudara;Tue Nov 12 00:41:44 BRST 2013;null;668;
sudara;alonetone;closed;Sudara;Tue Nov 12 00:41:12 BRST 2013;Thu Nov 14 17:34:44 BRST 2013;2;
sudara;alonetone;closed;Sudara;Sat Nov 09 15:21:45 BRST 2013;Mon Dec 09 19:47:54 BRST 2013;30;
sudara;alonetone;closed;Sudara;Fri Nov 08 19:49:42 BRST 2013;Fri Nov 08 19:54:25 BRST 2013;0;
sudara;alonetone;open;Sudara;Fri Nov 08 19:20:56 BRST 2013;null;671;
sudara;alonetone;closed;Sudara;Fri Nov 08 16:26:05 BRST 2013;Thu Feb 26 18:49:09 BRT 2015;475;
sudara;alonetone;closed;Sudara;Fri Nov 08 16:08:52 BRST 2013;Fri Nov 08 22:30:33 BRST 2013;0;
sudara;alonetone;closed;Sudara;Fri Nov 08 16:04:27 BRST 2013;Fri Nov 08 22:30:16 BRST 2013;0;
sudara;alonetone;closed;Sudara;Fri Nov 08 16:01:02 BRST 2013;Fri Nov 08 22:35:09 BRST 2013;0;
sudara;alonetone;closed;Sudara;Fri Nov 08 15:36:28 BRST 2013;Fri Nov 08 23:01:33 BRST 2013;0;
sudara;alonetone;closed;Sudara;Fri Nov 08 14:09:02 BRST 2013;Mon Dec 09 19:48:16 BRST 2013;31;
sudara;alonetone;open;Sudara;Fri Nov 08 13:50:52 BRST 2013;null;671;
sudara;alonetone;closed;Sudara;Thu Nov 07 22:54:55 BRST 2013;Sun Feb 15 17:24:16 BRST 2015;464;
sudara;alonetone;open;Sudara;Thu Nov 07 22:11:28 BRST 2013;null;672;
sudara;alonetone;closed;Sudara;Thu Nov 07 21:36:18 BRST 2013;Fri Nov 08 22:35:59 BRST 2013;1;
sudara;alonetone;closed;Sudara;Thu Nov 07 21:36:04 BRST 2013;Sun Feb 15 17:24:27 BRST 2015;464;
sudara;alonetone;closed;Sudara;Thu Nov 07 15:32:39 BRST 2013;Thu Nov 07 22:53:59 BRST 2013;0;
sudara;alonetone;closed;Sudara;Tue Nov 05 22:11:33 BRST 2013;Tue Nov 05 22:40:16 BRST 2013;0;
sudara;alonetone;closed;Sudara;Tue Nov 05 19:58:56 BRST 2013;Thu Nov 07 21:23:34 BRST 2013;2;
sudara;alonetone;closed;Sudara;Tue Nov 05 19:56:08 BRST 2013;Thu Nov 07 22:45:30 BRST 2013;2;
sudara;alonetone;closed;Sudara;Tue Nov 05 19:45:21 BRST 2013;Thu Nov 07 21:35:46 BRST 2013;2;
sudara;alonetone;closed;Sudara;Tue Nov 05 17:43:24 BRST 2013;Sat Nov 09 22:06:42 BRST 2013;4;
sudara;alonetone;closed;montgomeru;Mon Nov 04 22:09:22 BRST 2013;Thu Nov 07 15:31:23 BRST 2013;2;
sudara;alonetone;closed;montgomeru;Mon Nov 04 22:03:46 BRST 2013;Wed Nov 06 13:58:07 BRST 2013;1;
sudara;alonetone;closed;montgomeru;Mon Nov 04 21:42:49 BRST 2013;Thu Nov 07 21:49:22 BRST 2013;3;
sudara;alonetone;closed;montgomeru;Mon Nov 04 21:31:08 BRST 2013;Thu Nov 07 23:02:39 BRST 2013;3;
sudara;alonetone;closed;montgomeru;Mon Nov 04 21:28:32 BRST 2013;Thu Nov 07 21:44:04 BRST 2013;3;
sudara;alonetone;closed;montgomeru;Mon Nov 04 21:18:06 BRST 2013;Mon Nov 04 21:38:24 BRST 2013;0;
sudara;alonetone;closed;montgomeru;Mon Nov 04 21:09:55 BRST 2013;Thu Nov 07 23:04:27 BRST 2013;3;
sudara;alonetone;closed;montgomeru;Mon Nov 04 20:55:58 BRST 2013;Mon Dec 09 19:53:02 BRST 2013;34;
sudara;alonetone;closed;montgomeru;Mon Nov 04 20:53:02 BRST 2013;Wed Nov 06 13:58:25 BRST 2013;1;
