
mascarenhas;luaclr;open;Andrew Pennebaker;Thu Dec 06 17:45:47 BRST 2012;null;1038;
ctran;annotate_models;closed;PikachuEXE;Fri May 22 02:50:10 BRT 2015;Tue May 26 10:03:03 BRT 2015;4;
ctran;annotate_models;closed;B. Ruschill;Fri Apr 10 06:34:35 BRT 2015;Fri Apr 10 17:28:10 BRT 2015;0;
ctran;annotate_models;open;Viktor Fonic;Thu Apr 09 11:13:56 BRT 2015;null;184;
ctran;annotate_models;closed;Stefan Rotariu;Wed Apr 01 12:20:38 BRT 2015;Wed Apr 15 23:17:15 BRT 2015;14;
ctran;annotate_models;closed;Michael Fernando;Sun Mar 29 22:44:33 BRT 2015;Fri Apr 10 17:22:59 BRT 2015;11;
ctran;annotate_models;closed;Michael Fernando;Sun Mar 29 18:03:51 BRT 2015;Sun Mar 29 19:09:05 BRT 2015;0;
ctran;annotate_models;closed;Jason Wadsworth;Fri Mar 27 12:51:56 BRT 2015;Fri Mar 27 17:39:54 BRT 2015;0;
ctran;annotate_models;closed;Nicolas Leger;Fri Mar 20 05:53:19 BRT 2015;Wed Mar 25 14:42:19 BRT 2015;5;
ctran;annotate_models;closed;Francesco;Wed Mar 18 07:47:38 BRT 2015;Tue May 26 10:05:18 BRT 2015;69;
ctran;annotate_models;closed;Daniel Hollands;Tue Mar 17 09:34:58 BRT 2015;Wed Mar 25 13:47:30 BRT 2015;8;
ctran;annotate_models;closed;Dmitri Goutnik;Sun Mar 15 21:10:05 BRT 2015;Mon Mar 16 04:22:21 BRT 2015;0;
ctran;annotate_models;closed;null;Thu Mar 12 20:51:06 BRT 2015;Thu May 21 21:39:38 BRT 2015;70;
ctran;annotate_models;closed;Devin;Tue Mar 10 12:51:14 BRT 2015;Tue Mar 10 19:48:59 BRT 2015;0;
ctran;annotate_models;closed;Gregory Bataille;Mon Mar 09 18:42:23 BRT 2015;Tue Mar 10 05:40:54 BRT 2015;0;
ctran;annotate_models;closed;Peter Boling;Sun Mar 08 19:48:39 BRT 2015;Sun Mar 08 19:49:52 BRT 2015;0;
ctran;annotate_models;closed;null;Thu Feb 26 16:58:00 BRT 2015;Wed Mar 04 02:48:27 BRT 2015;5;
ctran;annotate_models;closed;Ilya Vassilevsky;Thu Feb 19 05:52:46 BRST 2015;Mon Apr 13 03:43:05 BRT 2015;52;
ctran;annotate_models;closed;Nathan Brazil;Sat Feb 07 17:59:21 BRST 2015;Sun Mar 08 07:36:42 BRT 2015;28;
