
ruby-rdf;sparql-client;closed;Gregg Kellogg;Mon Apr 11 19:37:03 BRT 2011;Tue Oct 04 02:17:27 BRT 2011;175;
ruby-rdf;sparql-client;closed;Ben Lavender;Tue Feb 01 16:35:35 BRST 2011;Wed Feb 02 15:46:08 BRST 2011;0;
ruby-rdf;sparql-client;closed;Christoph Badura;Wed Jan 05 20:08:35 BRST 2011;Wed Feb 02 23:55:48 BRST 2011;28;
ruby-rdf;sparql-client;closed;Ben Lavender;Thu Oct 14 05:06:50 BRT 2010;Thu Oct 14 05:08:29 BRT 2010;0;
ruby-rdf;sparql-client;closed;Ben Lavender;Thu Oct 14 04:48:48 BRT 2010;Thu Oct 14 11:51:47 BRT 2010;0;
ruby-rdf;sparql-client;closed;Ben Lavender;Mon Oct 11 07:35:29 BRT 2010;Thu Oct 14 05:09:13 BRT 2010;2;
ruby-rdf;sparql-client;open;Deleted user;Sun Sep 19 00:56:08 BRT 2010;null;1864;
ruby-rdf;sparql-client;closed;Fumihiro Kato;Fri Sep 17 11:49:28 BRT 2010;Fri Sep 17 21:37:13 BRT 2010;0;
ruby-rdf;sparql-client;closed;Deleted user;Thu Sep 16 02:11:33 BRT 2010;Thu Sep 16 15:58:49 BRT 2010;0;
ruby-rdf;sparql-client;closed;selvan;Fri Jul 30 04:12:10 BRT 2010;Fri Jul 30 11:14:17 BRT 2010;0;
ruby-rdf;sparql-client;closed;selvan;Fri Jul 30 04:12:02 BRT 2010;Tue Sep 07 07:33:59 BRT 2010;39;
ruby-rdf;sparql-client;closed;Gabriel Horner;Tue Jun 08 06:09:10 BRT 2010;Sun Apr 17 22:01:04 BRT 2011;313;
ruby-rdf;sparql-client;closed;Gabriel Horner;Fri Jun 04 20:17:57 BRT 2010;Sun Apr 17 22:00:32 BRT 2011;317;
ruby-rdf;sparql-client;closed;Gabriel Horner;Fri Jun 04 06:44:34 BRT 2010;Sat Jun 12 20:41:56 BRT 2010;8;
ruby-rdf;sparql-client;open;null;Wed May 05 12:14:14 BRT 2010;null;2000;
ruby-rdf;sparql-client;closed;Arto Bendiken;Mon Apr 12 08:36:02 BRT 2010;Mon Apr 12 08:37:28 BRT 2010;0;












Grayson;cocoa-nu-template;open;Erik Wickstrom;Mon Jan 11 16:38:20 BRST 2010;null;2114;






davetroy;astmanproxy;open;SPA;Mon Aug 05 17:44:48 BRT 2013;null;812;
davetroy;astmanproxy;open;Steven Wheeler;Mon Jul 15 14:55:57 BRT 2013;null;833;
davetroy;astmanproxy;closed;Augusto Campos;Wed Jun 15 15:36:54 BRT 2011;Sat Dec 31 07:11:52 BRST 2011;198;
davetroy;astmanproxy;closed;Kaian;Fri May 20 06:52:36 BRT 2011;Tue Jan 20 10:50:39 BRST 2015;1341;
davetroy;astmanproxy;open;Humberto Diógenes;Thu Jan 06 02:16:13 BRST 2011;null;1755;
davetroy;astmanproxy;open;James Green;Fri Jul 17 07:00:53 BRT 2009;null;2293;



slim;phtpasswd;closed;Chris Cornutt;Thu May 01 15:34:13 BRT 2014;Thu May 01 18:28:08 BRT 2014;0;




automatthew;activemdb;closed;null;Fri Jul 03 16:40:38 BRT 2015;Fri Jul 03 16:41:15 BRT 2015;0;
automatthew;activemdb;closed;null;Mon Mar 30 04:56:25 BRT 2015;Sun Apr 05 11:28:20 BRT 2015;6;
automatthew;activemdb;closed;null;Wed Mar 11 05:04:09 BRT 2015;Wed Mar 11 11:46:20 BRT 2015;0;
automatthew;activemdb;closed;null;Wed Mar 11 04:44:27 BRT 2015;Wed Mar 11 05:00:52 BRT 2015;0;
automatthew;activemdb;closed;null;Mon Mar 09 23:44:20 BRT 2015;Wed Mar 11 00:00:42 BRT 2015;1;
automatthew;activemdb;open;Elia Schito;Mon Jan 03 08:45:50 BRST 2011;null;1757;




saturnflyer;radiant-settings;open;7rans;Sat Jan 19 17:59:43 BRST 2013;null;1010;
saturnflyer;radiant-settings;closed;Benny Degezelle;Tue Feb 15 13:02:59 BRST 2011;Mon Mar 14 19:51:01 BRT 2011;27;
saturnflyer;radiant-settings;closed;Andrew vonderLuft;Wed Jan 05 16:11:23 BRST 2011;Tue Feb 15 17:34:18 BRST 2011;41;
saturnflyer;radiant-settings;open;John Muhl;Wed Jul 28 12:49:52 BRT 2010;null;1916;


amorrow;pic-assembly-textmate-bundle;open;Philippe Ombredanne;Fri Feb 13 12:43:01 BRST 2015;null;255;
amorrow;pic-assembly-textmate-bundle;open;Adam Roben;Fri Nov 14 18:18:12 BRST 2014;null;346;





youpy;www-favicon;open;youpy;Fri Nov 06 19:22:03 BRST 2009;null;2180;










etorreborre;specs-before-google-code-import;open;Ross A. Baker;Sat Jan 14 01:27:45 BRST 2012;null;1382;
etorreborre;specs-before-google-code-import;closed;John Gallagher;Sat Nov 26 21:58:05 BRST 2011;Sun Nov 27 07:50:05 BRST 2011;0;
etorreborre;specs-before-google-code-import;closed;Johannes Rudolph;Fri Mar 25 07:50:37 BRT 2011;Fri Mar 25 11:28:50 BRT 2011;0;
etorreborre;specs-before-google-code-import;closed;Johannes Rudolph;Thu Mar 10 18:50:50 BRT 2011;Sun Mar 20 02:22:51 BRT 2011;9;
etorreborre;specs-before-google-code-import;closed;Johannes Rudolph;Thu Mar 10 18:47:52 BRT 2011;Sun Mar 20 02:28:08 BRT 2011;9;











ezyang;htmlpurifier;open;Stefano Torresi;Tue Sep 29 06:47:30 BRT 2015;null;28;
ezyang;htmlpurifier;open;IT??? (Zhao Binyan);Thu Sep 17 14:00:13 BRT 2015;null;39;
ezyang;htmlpurifier;closed;Adam McKenna;Fri Aug 21 02:01:21 BRT 2015;Fri Aug 21 05:43:24 BRT 2015;0;
ezyang;htmlpurifier;open;null;Fri Aug 14 03:53:39 BRT 2015;null;74;
ezyang;htmlpurifier;closed;Christophe Coevoet;Tue Aug 04 20:02:13 BRT 2015;Tue Aug 04 22:25:27 BRT 2015;0;
ezyang;htmlpurifier;closed;Sylvain;Mon Aug 03 05:21:57 BRT 2015;Mon Aug 03 14:36:45 BRT 2015;0;
ezyang;htmlpurifier;open;netroby;Sun Jul 19 23:55:38 BRT 2015;null;99;
ezyang;htmlpurifier;open;Mike Zukowsky;Wed Jun 10 06:53:03 BRT 2015;null;139;
ezyang;htmlpurifier;open;null;Mon Jun 01 11:50:57 BRT 2015;null;147;
ezyang;htmlpurifier;closed;Bradley Weston;Mon May 18 17:09:34 BRT 2015;Thu May 28 16:01:56 BRT 2015;9;
ezyang;htmlpurifier;closed;Anthony Bocci;Tue May 05 14:19:44 BRT 2015;Tue May 05 14:51:14 BRT 2015;0;
