NAME;TOTAL;% of tagged Issues
BUG;1711;34,64%
FEATURE;918;18,58%
ENHANCEMENT;326;6,60%
QUESTION;163;3,30%
DOC;143;2,89%
INVALID;91;1,84%
WONT FIX;86;1,74%
RUBY;80;1,62%
PARSER;53;1,07%
TODO;37;0,75%
