LABEL;QUANTIDADE;%
BUG;2386;26%
FEATURE;1451;16%
ENHANCEMENT;444;5%
INVALID;247;3%
DOC;190;2%
WONT FIX;172;2%
QUESTION;165;2%
JRUBY;160;2%
FIX;155;2%
CODE;145;2%
