NOME;QUANT
0.7.0;34
1.1.0;14
4.0.0;10
0.7.5;4
2.0;3
5.0;3
0.7.4;3
0.7.2;3
0.5.1;3
2.0.0;2
1.2.6;2
3.0;2
0.5.2;2
1.7.0;2
1.5.0;2
v2.5.0;2
1.3.0;2
v1.0.0;2
v4.2.0;2
v4.3.0;2
3.3.0;2
3.1.0;2
2.2.2;2
1.9 API;1
stable;1
1.2.9;1
1.2.8;1
1.2.7;1
v1.0;1
eycap 0.6;1
Forgery 2.0;1
version 3.0.1;1
6.0;1
4.0;1
v6;1
v5;1
3.2.0 - Usability Improvements;1
3.1.0 - Rails 4.1, Bug Fixes;1
OneBody 3.0 (Redesign);1
Matthew 18:20;1
0.8.4;1
0.8.3;1
0.8.2;1
0.8.1;1
0.8.0;1
0.7.3;1
0.7.2 (Cause Github is broke);1
0.6.8;1
0.6.6;1
0.6.5;1
0.7.7;1
0.7.6.2;1
0.7.6.1;1
0.7.6;1
0.7.1.1;1
0.7.1;1
0.6.2.1;1
0.6.2;1
0.6.1;1
0.6.1.1;1
0.6;1
0.8;1
0.7;1
0.5;1
0.5.2.1;1
v2.6.11;1
v2.6.10;1
v2.6.9;1
v2.6.7;1
v2.6.6;1
v2.6.4;1
neverland;1
v2.6.3;1
v2.6.2;1
v2.7.0;1
v2.6.0;1
aasm4;1
4.3;1
Rails 3;1
1.3.4;1
v3.0.x;1
v2.3.9;1
v4.0.x;1
v3.1.x;1
v2.4.6;1
v2.1.13;1
v2.2.11;1
v2.0.13;1
v2.2.1;1
v2.1.5;1
v2.2.0;1
v2.0.8;1
v2.1.4;1
v2.2.2;1
v2.0.5;1
v2.0.6;1
v2.1.x;1
v2.0.4;1
v2.0.0;1
v1.3.0;1
v1.2.x;1
v1.1.x;1
v1.1.0;1
v1.0.1;1
v0.70.0;1
v0.70.2;1
0.6.0;1
0.5.0;1
0.4.0;1
0.3.7;1
0.3.6;1
v5.0;1
v4.3.5;1
v4.3.1;1
v4.2.3;1
v4.3.2;1
v4.2.2;1
v4.1.5;1
v4.1.4;1
v4.1.3;1
v4.1.1;1
v4.0.5;1
v4.1;1
v4.0.4;1
v4.0.3;1
v4.0.2;1
v4.0.1;1
OpenID Connect;1
v4.0.0;1
OAuth 2 Final;1
Splinters;1
Viaduct;1
3.2.0;1
2.4.2;1
2.4.1;1
3.0.0;1
2.4.0;1
4.0 beta;1
3.1.2;1
3.2.0.rc;1
3.0 final;1
3.1;1
2.2.1;1
2.2;1
2.1 Final;1
2.1 RC;1
2.0.2;1
2.0.1;1
2.0 Final;1
2.0.0.rc5;1
2.0.0.rc4;1
2.0.0.rc3;1
2.0.0.rc2 (Rails 3.1.0.rc2);1
2.0.0.rc1 (Rails 3.1 rc1);1
1.2.4;1
Iteração 0.0.1;1
v4.4.0;1
v4.1.2;1
v3.1.3;1
v3.0.3;1
v3.2.0;1
v3.1.0;1
v3.0.2;1
v3.0.1;1
v2.3.11;1
4.2.5;1
5.0.0;1
4.2.4;1
4.1.13;1
4.2.3;1
4.1.12;1
4.1.14;1
4.2.1;1
4.1.10;1
4.0.13;1
4.1.9;1
4.2.0;1
4.1.8;1
4.1.6;1
4.0.10;1
4.0.6;1
4.1.2;1
4.1.0;1
4.0.4;1
4.0.1;1
3.2.15;1
3.2.14;1
3.2.13;1
3.2.10;1
3.2.9;1
3.2.8;1
3.2.7;1
3.2.6;1
3.2.3;1
3.2.2;1
3.2.4;1
3.2.1;1
Rails 3.2;1
3.1.4;1
3.1.3;1
3.0.11;1
3.1.1;1
3.1.5;1
Rails 3.1;1
3.0.10;1
3.0.9;1
3.0.13;1
Rails 3.0.8;1
2.6.5;1
2.6.1;1
3.0.6;1
Version 3;1
2.1;1
2.0.x;1
1.3;1
1.3.3;1
1.3.2;1
1.2.2;1
1.2;1
Typus for Rails 4 Gem;1
Typus 3.1.0;1
mechanize 2.1;1
Future;1
0.5.3;1
1.5.2;1
1.6.0;1
1.5.3;1
1.5.1;1
1.4.5;1
1.4.4;1
1.4.3;1
1.4.2;1
1.4.1;1
Core 2.0 alpha 1;1
Core 1.4.0;1
Core 1.3.3;1
yaml 2.0.1;1
3.0 release;1
v1.4.0;1
1.2.0;1
1.1.4;1
1.1.2;1
1.1.3;1
1.0.5;1
0.9.3.1;1
0.10;1
0.9.3;1
new-feature;1
0.9.2;1
bug-fix;1
major-change;1
0.9.1;1
blue-sky;1
0.9;1
0.0.3;1
