Indice;User;Repository;IssuesAbertos;IssuesFechados;IssuesBugAbertos;IssuesBugFechados;Followers ;Following ;Forks;Watchers;Kilobytes;MB;NIssues;RangeIssue;IssuesMB
573;beppu;squatting;3;1;0;0;93;206;4;32;1911;1,87;4;Não Contem Issue;2,143380429
574;motemen;git-vim;20;7;0;0;300;137;78;590;146;0,14;27;Contem Issue;189,369863
575;tim;erlang-beanstalk;1;1;0;0;77;65;13;26;163;0,16;2;Não Contem Issue;12,56441718
576;thinkerbot;tap;11;7;0;0;13;0;0;19;5192;5,07;18;Contem Issue;3,550077042
577;motemen;jusk;0;1;0;0;300;137;0;7;313;0,31;1;Não Contem Issue;3,271565495
578;dustin;memcached;0;1;0;0;687;19;2;123;9569;9,34;1;Não Contem Issue;0,107012227
579;jmckible;version_fu;2;9;0;0;6;0;19;112;1129;1,1;11;Contem Issue;9,976970771
580;dan-manges;unit-record;3;1;0;0;75;40;5;107;403;0,39;4;Não Contem Issue;10,16377171
581;jedbrown;spectral-petsc;1;0;0;0;63;0;4;2;159;0,16;1;Não Contem Issue;6,440251572
582;gaubert;java-balivernes;0;1;0;0;25;16;1;2;10241;10;1;Não Contem Issue;0,099990235
583;thinkerbot;hansen_lab;1;0;0;0;13;0;0;1;176;0,17;1;Não Contem Issue;5,818181818
584;TwP;webby;7;3;0;0;165;8;53;277;1389;1,36;10;Contem Issue;7,372210223
585;ianwhite;nested_has_many_through;5;1;0;0;79;9;24;140;326;0,32;6;Contem Issue;18,84662577
586;viking;r-yaml;9;15;0;0;19;8;2;19;615;0,6;24;Contem Issue;39,96097561
587;lifedraft;dhonishow;0;5;0;0;5;7;1;5;1057;1,03;5;Não Contem Issue;4,843897824
588;zodttd;gameboy4iphone;1;0;0;0;201;3;11;31;573;0,56;1;Não Contem Issue;1,787085515
589;zodttd;snes4iphone;1;0;0;0;201;3;8;36;1511;1,48;1;Não Contem Issue;0,677696889
590;jomz;radiant-wym-editor-filter-extension;1;7;0;0;38;12;10;31;1096;1,07;8;Contem Issue;7,474452555
591;pjhyett;github-services;0;3;0;0;8071;34;52;420;2256;2,2;3;Não Contem Issue;1,361702128
592;jzting;foodfinder;0;2;0;0;10;9;0;1;216;0,21;2;Não Contem Issue;9,481481481
593;royzhu;test;1;0;0;0;0;0;2;2;113;0,11;1;Não Contem Issue;9,061946903
594;svenfuchs;safemode;3;10;0;0;531;85;10;41;243;0,24;13;Contem Issue;54,781893
595;commondream;rcov_plugin;2;0;0;0;86;8;12;29;139;0,14;2;Não Contem Issue;14,73381295
596;douglasjarquin;ruby-haml-tmbundle;0;2;0;0;25;55;13;67;83;0,08;2;Não Contem Issue;24,6746988
597;eric;sevenscale-scout-plugins;1;0;0;0;178;43;0;5;104;0,1;1;Não Contem Issue;9,846153846
598;magnusjonsson;microtracker;3;0;0;0;1;1;0;1;184;0,18;3;Não Contem Issue;16,69565217
599;typester;www-favicon;1;0;0;0;411;141;1;3;92;0,09;1;Não Contem Issue;11,13043478
600;Caged;lighthouse-api;11;4;0;0;771;33;35;104;208;0,2;15;Contem Issue;73,84615385
601;timcharper;railswhere;1;0;0;0;129;24;1;15;153;0,15;1;Não Contem Issue;6,692810458
602;madrobby;scripty2;23;16;0;0;2056;14;57;520;10621;10,37;39;Contem Issue;3,760097919
603;ianwhite;response_for;0;2;0;0;79;9;1;16;315;0,31;2;Não Contem Issue;6,501587302
604;redinger;validation_reflection;6;7;0;0;58;7;19;314;143;0,14;13;Contem Issue;93,09090909
605;lak;facter;0;1;0;0;125;15;6;32;1248;1,22;1;Não Contem Issue;0,820512821
606;arya;tm_syntax_highlighting;0;1;0;0;106;14;4;62;116;0,11;1;Não Contem Issue;8,827586207
607;weavejester;compojure;4;139;1;2;628;6;186;2608;7821;7,64;143;Contem Issue;18,72292546
608;juanger;rorgate;1;0;0;0;30;28;0;3;5440;5,31;1;Não Contem Issue;0,188235294
