Indice;User;Repository;IssuesAbertos;IssuesFechados;IssuesBugAbertos;IssuesBugFechados;Followers ;Following ;Forks;Watchers;Kilobytes;MB;NIssues;RangeIssue;IssuesMB
729;gerhard;glz_custom_fields;1;5;0;0;87;38;5;21;1894;1,85;6;Contem Issue;3,243928194
730;ruby;bugs.ruby-lang.org;19;42;0;0;0;0;10;38;107523;105;61;Contem Issue;0,580936172
731;TekNoLogic;Kennel;0;13;0;0;0;0;1;6;228;0,22;13;Contem Issue;58,38596491
732;janne;dotfiles;0;2;0;0;12;3;2;5;1007;0,98;2;Não Contem Issue;2,033763654
733;ctagg;ebay_shopping;0;1;0;0;3;1;5;20;189;0,18;1;Não Contem Issue;5,417989418
734;Constellation;ldrfullfeed;0;4;0;0;418;189;4;18;443;0,43;4;Não Contem Issue;9,246049661
735;steveicarus;iverilog;6;72;0;0;48;0;52;246;25975;25,37;78;Contem Issue;3,074956689
736;timburks;programmingnu;0;1;0;0;361;16;7;35;1401;1,37;1;Não Contem Issue;0,730906495
737;jeresig;processing-js;1;13;0;0;10516;29;605;1717;41943;40,96;14;Contem Issue;0,341797201
738;duplys;git-issues;7;14;0;0;4;11;37;227;230;0,22;21;Contem Issue;93,49565217
739;ledger;ledger;5;349;0;0;0;0;201;1284;17802;17,38;354;Contem Issue;20,36265588
740;geemus;acts_as_taggable_redux;0;10;0;0;364;34;18;96;165;0,16;10;Contem Issue;62,06060606
741;esobchenko;probix;8;35;0;0;2;0;0;4;524;0,51;43;Contem Issue;84,03053435
742;zodttd;psx4all;1;0;0;0;201;3;20;36;2277;2,22;1;Não Contem Issue;0,449714537
743;kovyrin;magic-enum;1;2;0;0;96;34;8;29;220;0,21;3;Não Contem Issue;13,96363636
744;tekkub;libdatabroker-1-1;0;1;0;0;5532;91;13;35;409;0,4;1;Não Contem Issue;2,503667482
745;jfernandez;cj4r;1;0;0;0;27;5;2;15;233;0,23;1;Não Contem Issue;4,394849785
746;frabcus;acts_as_xapian;4;0;0;0;99;19;30;129;1312;1,28;4;Não Contem Issue;3,12195122
747;drnic;ruby-shoulda-tmbundle;1;0;0;0;1448;13;24;92;133;0,13;1;Não Contem Issue;7,69924812
748;timmow;vimrc;0;1;0;0;21;25;0;2;636;0,62;1;Não Contem Issue;1,610062893
749;Shopify;active_fulfillment;6;53;0;0;0;0;37;93;1312;1,28;59;Contem Issue;46,04878049
750;chrisvest;nanopool;0;17;0;6;55;44;1;6;728;0,71;17;Contem Issue;23,91208791
751;hirose31;ganglia-gmetric-xs;0;1;0;0;190;145;1;4;302;0,29;1;Não Contem Issue;3,390728477
752;technomancy;rinari;1;2;0;0;1290;0;81;65;434;0,42;3;Não Contem Issue;7,078341014
753;gabriel;as3httpclient;11;1;0;0;284;37;78;244;2488;2,43;12;Contem Issue;4,938906752
754;oakridgelanl;materialized-path;1;0;0;0;1;0;1;5;90;0,09;1;Não Contem Issue;11,37777778
755;carlosbrando;poignant-br;0;1;0;0;509;32;30;76;17037;16,64;1;Não Contem Issue;0,060104478
756;chrislloyd;gravtastic;5;32;0;0;152;214;55;547;427;0,42;37;Contem Issue;88,73067916
757;jruby;jruby-rack;11;185;0;0;0;0;121;386;10256;10,02;196;Contem Issue;19,56942278
758;ryanb;railscasts-episodes;14;10;0;0;6352;95;615;812;10799;10,55;24;Contem Issue;2,275766275
759;wrobel;pardalys;1;0;0;0;19;46;1;14;1033;1,01;1;Não Contem Issue;0,991287512
760;theRocket;typo;1;0;0;0;4;3;0;1;4847;4,73;1;Não Contem Issue;0,2112647
761;kbingman;radiant-tags-extension;1;0;0;0;26;0;0;2;185;0,18;1;Não Contem Issue;5,535135135
762;sesam;z2;0;1;0;0;13;9;0;1;560;0,55;1;Não Contem Issue;1,828571429
763;TomK32;mephisto-themes;1;0;0;0;70;73;0;4;160;0,16;1;Não Contem Issue;6,4
764;nazar;git-rails-plugins;0;2;0;0;15;10;2;14;234;0,23;2;Não Contem Issue;8,752136752
765;kenegozi;monorail-aspview-demo;1;0;0;0;14;0;1;4;2333;2,28;1;Não Contem Issue;0,438919846
766;protocool;ack-tmbundle;4;1;0;0;40;0;33;302;501;0,49;5;Não Contem Issue;10,21956088
767;cainlevy;components;0;1;0;0;55;0;3;25;155;0,15;1;Não Contem Issue;6,606451613
768;manveru;nagoro;0;2;0;0;194;18;2;11;312;0,3;2;Não Contem Issue;6,564102564
769;ryan-allen;workflow;3;1;0;0;104;101;171;213;282;0,28;4;Não Contem Issue;14,5248227
770;btakita;rr;27;73;12;8;61;52;71;530;2843;2,78;100;Contem Issue;36,01829054
771;blynn;netwalk;1;1;0;0;64;0;4;5;750;0,73;2;Não Contem Issue;2,730666667
772;blynn;gitmagic;6;34;0;0;64;0;457;879;2830;2,76;40;Contem Issue;14,47349823
773;siannopollo;mail_fetcher;2;0;0;0;8;5;4;35;137;0,13;2;Não Contem Issue;14,94890511
774;oneup;guide-to-zen;1;0;0;0;23;14;0;1;716;0,7;1;Não Contem Issue;1,430167598
775;haruska;polymorphic_include;0;2;0;0;32;15;3;20;113;0,11;2;Não Contem Issue;18,12389381
776;olsonjeffery;boolangstudio;3;0;0;0;20;3;9;32;29767;29,07;3;Não Contem Issue;0,103201532
777;planetbeing;xpwn;4;3;0;0;536;5;155;243;33346;32,56;7;Contem Issue;0,214958316
778;aeden;rsaml;2;0;0;0;133;3;9;27;187;0,18;2;Não Contem Issue;10,95187166
779;tekin;file_column;3;1;0;0;51;14;31;45;383;0,37;4;Não Contem Issue;10,69451697
780;dojosp;participant-s-projects;0;3;0;0;23;0;2;28;5115;5;3;Não Contem Issue;0,60058651
781;ntalbott;radiant-reorder-extension;0;1;0;0;92;36;0;3;108;0,11;1;Não Contem Issue;9,481481481
782;josevalim;easy_http_cache;1;1;0;0;4006;24;5;76;647;0,63;2;Não Contem Issue;3,165378671
783;front-end;front-end-blender;0;1;0;0;0;0;1;6;2104;2,05;1;Não Contem Issue;0,486692015
784;tim;erlang-oauth;2;23;0;0;77;65;90;270;837;0,82;25;Contem Issue;30,58542413
785;activewarehouse;rails_sql_views;13;2;0;0;0;0;132;141;257;0,25;15;Contem Issue;59,76653696
786;activewarehouse;activewarehouse;2;1;0;0;0;0;43;190;1414;1,38;3;Não Contem Issue;2,172560113
787;activewarehouse;adapter_extensions;4;0;0;0;0;0;18;23;164;0,16;4;Não Contem Issue;24,97560976
788;grantneufeld;wayground-old;1;0;0;0;5;4;0;6;3092;3,02;1;Não Contem Issue;0,331177232
789;mallipeddi;django-taskforce;1;0;0;0;48;19;0;32;96;0,09;1;Não Contem Issue;10,66666667
790;erector;erector;33;33;0;0;0;0;43;201;3936;3,84;66;Contem Issue;17,17073171
791;DanielVF;d-time-tracker;0;2;0;0;5;2;5;7;130;0,13;2;Não Contem Issue;15,75384615
792;pivotalexperimental;desert;12;0;0;0;31;0;31;187;2773;2,71;12;Contem Issue;4,431301839
793;drnic;hobo-tmbundle;1;0;0;0;1448;13;3;18;786;0,77;1;Não Contem Issue;1,302798982
794;duritong;puppet-common;0;2;0;0;89;106;50;17;288;0,28;2;Não Contem Issue;7,111111111
795;jongilbraith;simple-private-messages;7;21;0;0;26;26;51;207;319;0,31;28;Contem Issue;89,88087774
796;natan;gspell;1;0;0;0;54;7;3;7;110;0,11;1;Não Contem Issue;9,309090909
797;mattetti;i18n;4;1;0;0;703;6;221;30;1361;1,33;5;Não Contem Issue;3,76193975
798;sr;atom-tools;1;0;0;0;426;157;7;9;277;0,27;1;Não Contem Issue;3,696750903
799;pragdave;codex;1;1;0;0;264;0;11;62;388;0,38;2;Não Contem Issue;5,278350515
800;wonsys;acts_as_fulltextable;1;0;0;0;2;0;1;10;99;0,1;1;Não Contem Issue;10,34343434
801;yyyc514;solowiki;1;0;0;0;50;4;0;3;208;0,2;1;Não Contem Issue;4,923076923
802;hadley;evaluate;7;47;0;0;4399;7;9;20;601;0,59;54;Contem Issue;92,00665557
803;fenrrir;geditpycompletion;4;0;0;0;28;1;52;76;398;0,39;4;Não Contem Issue;10,29145729
804;cmaxw;rubytrends;1;0;0;0;197;8;0;2;2416;2,36;1;Não Contem Issue;0,42384106
805;cypher;thor-git;0;1;0;0;180;41;5;38;122;0,12;1;Não Contem Issue;8,393442623
806;Ruleby;ruleby;17;7;0;0;0;0;35;266;1987;1,94;24;Contem Issue;12,36839456
807;mateusza;algorytmy-przeszukiwania-przestrzeni;1;0;0;0;1;5;0;1;144;0,14;1;Não Contem Issue;7,111111111
808;lsegal;yard-tmbundle;1;0;0;0;314;0;5;9;133;0,13;1;Não Contem Issue;7,69924812
809;cjbottaro;param_protected;5;7;0;0;13;0;12;88;173;0,17;12;Contem Issue;71,02890173
810;timcharper;bundle-fu;3;0;0;0;129;24;19;82;317;0,31;3;Não Contem Issue;9,690851735
811;isabanin;viddler;2;0;0;0;30;6;10;21;132;0,13;2;Não Contem Issue;15,51515152
812;yokote;test2;1;0;0;0;1;2;1;2;105;0,1;1;Não Contem Issue;9,752380952
813;mth;yeti;3;13;0;0;15;1;8;129;9059;8,85;16;Contem Issue;1,808588144
814;fabien;im_magick;2;1;0;0;26;12;2;27;444;0,43;3;Não Contem Issue;6,918918919
815;cristibalan;dotfiles;1;0;0;0;65;35;2;8;947;0,92;1;Não Contem Issue;1,081309398
816;hadley;ggplot2-book;9;74;0;0;4399;7;87;193;29282;28,6;83;Contem Issue;2,90253398
817;stouset;pathname3;0;1;0;0;34;0;2;13;207;0,2;1;Não Contem Issue;4,946859903
818;cjbottaro;app_config;3;3;0;0;13;0;23;104;119;0,12;6;Contem Issue;51,6302521
819;topfunky;ruby-hmac;1;1;0;0;1081;199;8;41;128;0,13;2;Não Contem Issue;16
820;cainlevy;recordselect;2;1;0;0;55;0;30;44;186;0,18;3;Não Contem Issue;16,51612903
821;smtlaissezfaire;cap_db_dump;1;1;0;0;185;311;2;8;161;0,16;2;Não Contem Issue;12,72049689
822;jebw;redbox;3;0;0;0;3;1;7;18;91;0,09;3;Não Contem Issue;33,75824176
823;geemus;googleajax;3;2;0;0;364;34;9;54;166;0,16;5;Não Contem Issue;30,84337349
824;alltom;ruck;5;1;0;0;74;10;0;27;372;0,36;6;Contem Issue;16,51612903
825;jsierles;js_named_routes;1;0;0;0;127;0;11;37;100;0,1;1;Não Contem Issue;10,24
826;jamesu;railscollab;0;6;0;0;70;21;73;264;4561;4,45;6;Contem Issue;1,34707301
827;hotchpotch;rascut;0;4;0;0;390;48;7;25;178;0,17;4;Não Contem Issue;23,01123596
828;Pistos;diakonos;20;46;10;4;102;0;12;106;3321;3,24;66;Contem Issue;20,35049684
829;copyhacker;backup_fu;3;0;0;0;20;17;23;99;234;0,23;3;Não Contem Issue;13,12820513
830;activemerchant;active_merchant;75;1789;0;0;0;0;1761;3148;36071;35,23;1864;Contem Issue;52,91608217
831;jnewland;san_juan;3;1;0;0;413;84;18;76;157;0,15;4;Não Contem Issue;26,08917197
832;bsag;tracks-old;0;27;0;0;30;0;214;409;20538;20,06;27;Contem Issue;1,346187555
833;mkdynamic;active-record-matchers;0;1;0;0;78;29;0;4;117;0,11;1;Não Contem Issue;8,752136752
834;pluskid;rmmseg-cpp;4;0;0;0;479;0;32;131;920;0,9;4;Não Contem Issue;4,452173913
835;dsparling;jclock;2;10;0;0;13;38;33;64;411;0,4;12;Contem Issue;29,89781022
836;rtomayko;rpeg-markdown;4;0;0;0;1791;100;12;34;625;0,61;4;Não Contem Issue;6,5536
837;jandot;ruby-ensembl-api;5;8;0;0;79;11;15;39;4051;3,96;13;Contem Issue;3,286102197
838;gnufied;backgroundrb;6;4;0;0;117;96;41;220;2024;1,98;10;Contem Issue;5,059288538
839;ambethia;smtp-tls;1;0;0;0;97;50;12;48;138;0,13;1;Não Contem Issue;7,420289855
840;activescaffold;active_scaffold;16;425;0;0;0;0;277;878;13121;12,81;441;Contem Issue;34,41688896
841;haikuwebdev;aftimagr;0;1;0;0;4;0;2;12;144;0,14;1;Não Contem Issue;7,111111111
842;activescaffold;active_scaffold_sortable;4;5;0;0;0;0;19;53;368;0,36;9;Contem Issue;25,04347826
843;granth;titleize;3;8;0;0;6;10;24;38;292;0,29;11;Contem Issue;38,57534247
844;tbueno;delicious-ext;0;1;0;0;45;8;0;3;120;0,12;1;Não Contem Issue;8,533333333
845;luislavena;win32console;4;14;3;4;248;7;9;21;175;0,17;18;Contem Issue;105,3257143
846;sebasmagri;portage;0;1;0;0;65;89;1;1;219;0,21;1;Não Contem Issue;4,675799087
847;timcharper;calendar_date_select_demo;1;0;0;0;129;24;13;31;169;0,17;1;Não Contem Issue;6,059171598
848;activescaffold;file_column;1;0;0;0;0;0;4;22;319;0,31;1;Não Contem Issue;3,210031348
849;kjk;web-arslexis;0;1;0;0;182;10;0;1;32232;31,48;1;Não Contem Issue;0,03176967
850;activescaffold;active_scaffold_demo;0;1;0;0;0;0;6;15;4567;4,46;1;Não Contem Issue;0,22421721
851;trondn;memcached;5;0;0;0;96;5;6;28;3258;3,18;5;Não Contem Issue;1,571516268
852;dustin;snippets;0;1;0;0;687;19;5;28;12371;12,08;1;Não Contem Issue;0,08277423
853;Pistos;m4dbi;0;4;0;0;102;0;0;19;435;0,42;4;Não Contem Issue;9,416091954
854;sproutit;sproutcore;1;7;0;0;0;0;70;489;37814;36,93;8;Contem Issue;0,21663934
855;sproutit;sproutcore-samples;7;3;0;0;0;0;34;235;6807;6,65;10;Contem Issue;1,504333774
856;bterlson;reddit;1;3;0;0;133;11;9;24;132;0,13;4;Não Contem Issue;31,03030303
857;samuel;lua-quadtree;1;0;0;0;98;20;3;8;88;0,09;1;Não Contem Issue;11,63636364
858;niklas;vimmate;6;1;0;0;22;25;2;20;956;0,93;7;Contem Issue;7,49790795
859;vicaya;hypertable;1;0;0;0;9;1;88;76;57719;56,37;1;Não Contem Issue;0,017741125
860;bjeanes;tv-renamer;0;4;0;0;168;72;6;19;122;0,12;4;Não Contem Issue;33,57377049
861;sjlombardo;acts_as_network;1;2;0;0;35;3;18;107;92;0,09;3;Não Contem Issue;33,39130435
862;suratpyari;blogging_app;1;0;0;0;4;1;0;1;3960;3,87;1;Não Contem Issue;0,258585859
863;nuggetwheat;hypertable;0;1;0;0;13;1;21;52;99324;97;1;Não Contem Issue;0,010309694
864;Spakman;jobby;1;1;0;0;26;18;2;12;584;0,57;2;Não Contem Issue;3,506849315
865;xlymian;git;1;0;0;0;8;18;11;5;13322;13,01;1;Não Contem Issue;0,076865336
866;evanfarrar;opensprints;37;51;0;0;51;88;14;35;32196;31,44;88;Contem Issue;2,798857001
867;gslin;albumexpander;0;1;0;0;104;0;0;1;118;0,12;1;Não Contem Issue;8,677966102
868;jnicklas;templater;4;3;0;0;658;7;8;46;594;0,58;7;Contem Issue;12,06734007
869;djcp;radiant-fckeditor;5;0;0;0;38;5;13;45;1167;1,14;5;Não Contem Issue;4,387317909
870;francois;clitt;1;0;0;0;72;2;0;13;117;0,11;1;Não Contem Issue;8,752136752
871;samsouder;titlecase;2;1;0;0;17;31;7;22;114;0,11;3;Não Contem Issue;26,94736842
872;walf443;rack-auth-ip;0;3;0;0;174;333;4;6;213;0,21;3;Não Contem Issue;14,42253521
873;planetbeing;iphonelinux;10;7;0;0;536;5;90;343;9953;9,72;17;Contem Issue;1,749020396
874;grosser;acts_as_searchable;0;1;0;0;283;7;0;5;252;0,25;1;Não Contem Issue;4,063492063
875;tablatom;rubydoctest;11;5;0;0;68;1;11;85;350;0,34;16;Contem Issue;46,81142857
876;vanto;trac-cc;1;0;0;0;31;40;0;1;108;0,11;1;Não Contem Issue;9,481481481
877;death;reddit-mode;1;3;0;0;19;8;12;34;139;0,14;4;Não Contem Issue;29,4676259
878;apeiros;breezeforms;1;0;0;0;50;6;0;6;132;0,13;1;Não Contem Issue;7,757575758
879;mislav;standardista;1;1;0;0;1673;20;2;24;134;0,13;2;Não Contem Issue;15,28358209
880;lukebayes;project-sprouts;4;71;0;0;82;55;41;216;38436;37,54;75;Contem Issue;1,998126756
881;petertodd;alternate-pace;1;0;0;0;262;0;0;1;4496;4,39;1;Não Contem Issue;0,227758007
882;mojombo;egitd;1;0;0;0;18380;11;17;90;270;0,26;1;Não Contem Issue;3,792592593
883;lutzky;ttime;17;7;0;0;13;8;8;10;15330;14,97;24;Contem Issue;1,603131115
884;hadley;ggplot2;34;1291;0;124;4399;7;507;1436;26480;25,86;1325;Contem Issue;51,23867069
885;bert;pcb-plugins;2;0;2;0;14;28;2;8;1307;1,28;2;Não Contem Issue;1,566947207
886;yasuhito;bf;0;11;0;0;25;35;0;1;448;0,44;11;Contem Issue;25,14285714
887;pokeb;php-mvc-router;0;1;0;0;451;3;24;72;113;0,11;1;Não Contem Issue;9,061946903
888;drnic;github-tmbundle;12;9;0;0;1448;13;37;235;311;0,3;21;Contem Issue;69,14469453
889;makkalot;func;1;0;0;0;10;7;3;13;1769;1,73;1;Não Contem Issue;0,578858112
890;madx;merb-todolist;1;0;0;0;49;44;0;2;148;0,14;1;Não Contem Issue;6,918918919
891;bricooke;backpack-journal;0;1;0;0;30;6;3;8;396;0,39;1;Não Contem Issue;2,585858586
892;schleyfox;ruby_kml;10;2;0;0;54;12;26;53;189;0,18;12;Contem Issue;65,01587302
893;crafterm;twilight-emacs;2;5;0;0;130;106;13;92;214;0,21;7;Contem Issue;33,4953271
894;raykrueger;hibernate-memcached;5;11;0;0;35;18;85;107;581;0,57;16;Contem Issue;28,19965577
895;captproton;caboo.se-sample-app-v3;1;0;0;0;8;22;0;4;2000;1,95;1;Não Contem Issue;0,512
896;mkllnk;gedit-rails-extensions;0;2;0;0;1;2;4;43;393;0,38;2;Não Contem Issue;5,211195929
897;wharsojo;w2tags;1;0;0;0;13;0;2;13;1164;1,14;1;Não Contem Issue;0,879725086
898;Mikachu;openbox;0;2;0;0;8;0;7;30;33837;33,04;2;Não Contem Issue;0,06052546
899;solars;github-vim;1;13;0;0;2;3;12;38;234;0,23;14;Contem Issue;61,26495726
900;bostonrb;bostonrb;11;162;0;0;0;0;72;206;18275;17,85;173;Contem Issue;9,693679891
901;sebnow;aur2;5;2;2;2;13;17;3;10;322;0,31;7;Contem Issue;22,26086957
902;tma;html_helpers;4;1;0;0;7;2;4;12;427;0,42;5;Não Contem Issue;11,99063232
903;sbecker;github_editor_theme;3;4;0;0;40;23;46;111;129;0,13;7;Contem Issue;55,56589147
904;travis;erlang-uuid;5;5;0;0;46;9;49;61;283;0,28;10;Contem Issue;36,18374558
905;dustin;elock;1;0;0;0;687;19;12;55;114;0,11;1;Não Contem Issue;8,98245614
906;azabaj;acts_as_rateable;1;1;0;0;18;7;37;160;81;0,08;2;Não Contem Issue;25,28395062
907;mloughran;api_cache;4;17;0;0;54;1;25;298;300;0,29;21;Contem Issue;71,68
908;duritong;puppet-yum;0;1;0;0;89;106;7;11;276;0,27;1;Não Contem Issue;3,710144928
909;jandot;bio-graphics;1;0;0;0;79;11;5;22;1721;1,68;1;Não Contem Issue;0,595002905
910;jlong;popupjs;1;3;0;0;218;8;12;56;1374;1,34;4;Não Contem Issue;2,981077147
911;rails;account_location;0;1;0;0;0;0;12;70;148;0,14;1;Não Contem Issue;6,918918919
912;sorbits;six;1;0;0;0;419;1;0;1;247;0,24;1;Não Contem Issue;4,145748988
913;rails;acts_as_list;15;6;0;0;0;0;282;391;485;0,47;21;Contem Issue;44,33814433
914;rails;acts_as_nested_set;2;0;0;0;0;0;11;66;77;0,08;2;Não Contem Issue;26,5974026
915;luislavena;mysql-gem;5;26;1;2;248;7;16;38;433;0,42;31;Contem Issue;73,31177829
916;rails;acts_as_tree;5;0;0;0;0;0;127;279;272;0,27;5;Não Contem Issue;18,82352941
917;rails;auto_complete;13;0;0;0;0;0;75;219;344;0,34;13;Contem Issue;38,69767442
918;rails;deadlock_retry;1;0;0;0;0;0;42;22;219;0,21;1;Não Contem Issue;4,675799087
919;rails;exception_notification;10;5;0;0;0;0;436;886;292;0,29;15;Contem Issue;52,60273973
920;rails;in_place_editing;5;0;0;0;0;0;50;232;275;0,27;5;Não Contem Issue;18,61818182
921;rails;open_id_authentication;1;1;0;0;0;0;63;295;221;0,22;2;Não Contem Issue;9,266968326
922;rails;scriptaculous_slider;1;0;0;0;0;0;8;15;90;0,09;1;Não Contem Issue;11,37777778
923;rails;ssl_requirement;6;2;0;0;0;0;164;322;79;0,08;8;Contem Issue;103,6962025
924;ljouglar;card-set;1;0;0;0;2;3;0;1;472;0,46;1;Não Contem Issue;2,169491525
925;svenfuchs;routing-filter;10;47;0;0;531;85;65;356;516;0,5;57;Contem Issue;113,1162791
926;nono;github_vim_theme;0;1;0;0;164;101;17;41;106;0,1;1;Não Contem Issue;9,660377358
927;TwP;logging;13;109;0;0;165;8;62;352;1559;1,52;122;Contem Issue;80,13341886
928;jmathai;epiphany;35;63;0;2;290;3;140;647;771;0,75;98;Contem Issue;130,1582361
929;fiveruns;fiveruns_tuneup;3;0;0;0;67;0;9;62;789;0,77;3;Não Contem Issue;3,893536122
930;reedlaw;myweblog;1;0;0;0;26;20;0;2;188;0,18;1;Não Contem Issue;5,446808511
931;dokai;gitctl;1;0;0;0;13;1;1;9;381;0,37;1;Não Contem Issue;2,687664042
932;neo4jrb;neo4j;106;849;1;23;0;0;172;911;50325;49,15;955;Contem Issue;19,43209141
933;kbingman;paperclipped;33;10;0;0;26;0;68;133;1221;1,19;43;Contem Issue;36,06224406
934;davetroy;geohash-js;6;0;0;0;46;2;71;273;109;0,11;6;Contem Issue;56,36697248
935;davidfstr;rdiscount;4;126;0;0;25;4;70;740;1823;1,78;130;Contem Issue;73,0224904
936;dsisnero;gdata-ruby;0;1;0;0;7;28;13;47;112;0,11;1;Não Contem Issue;9,142857143
937;notahat;not_a_mock;2;0;0;0;143;5;3;47;116;0,11;2;Não Contem Issue;17,65517241
938;kjk;fofou;1;3;0;0;182;10;38;175;1249;1,22;4;Não Contem Issue;3,279423539
939;jerrett;rails_money;0;1;0;0;8;4;10;16;226;0,22;1;Não Contem Issue;4,530973451
940;haruska;fb2twit;1;0;0;0;32;15;0;3;276;0,27;1;Não Contem Issue;3,710144928
941;notahat;time_travel;1;0;0;0;143;5;3;33;131;0,13;1;Não Contem Issue;7,816793893
942;eagleas;webmoney;4;21;0;0;1;0;23;38;600;0,59;25;Contem Issue;42,66666667
943;ianwhite;truncate_html;1;2;0;0;79;9;11;53;291;0,28;3;Não Contem Issue;10,55670103
944;awendt;hyggelig;1;7;0;0;21;22;0;4;1192;1,16;8;Contem Issue;6,872483221
945;markusb;pdf-create;1;1;0;0;1;1;4;12;1021;1;2;Não Contem Issue;2,005876592
946;chneukirchen;rack;0;10;0;0;485;1;5;471;2436;2,38;10;Contem Issue;4,203612479
947;jlong;serve;23;107;0;0;218;8;96;836;8412;8,21;130;Contem Issue;15,82501189
948;pjf;autodie;13;55;0;0;169;32;17;29;2192;2,14;68;Contem Issue;31,76642336
949;pjf;ipc-system-simple;6;10;1;0;169;32;8;10;561;0,55;16;Contem Issue;29,20499109
950;tkmr;as2js;1;0;0;0;5;14;1;4;92;0,09;1;Não Contem Issue;11,13043478
951;ninjudd;record_cache;7;4;0;0;99;26;6;39;358;0,35;11;Contem Issue;31,46368715
952;superchris;rubyjs;2;0;0;0;53;3;5;54;6149;6;2;Não Contem Issue;0,333062287
953;seaofclouds;pop;2;0;0;0;126;24;21;49;165;0,16;2;Não Contem Issue;12,41212121
954;davidB;scala-tools-parent;0;1;0;0;35;0;0;3;236;0,23;1;Não Contem Issue;4,338983051
955;yariv;twoorl;1;0;0;0;98;2;12;80;454;0,44;1;Não Contem Issue;2,255506608
956;davidB;scala-maven-plugin;25;145;0;0;35;0;62;223;6049;5,91;170;Contem Issue;28,77831046
957;jhubert;ruby-date-recur;1;0;0;0;32;43;0;19;90;0,09;1;Não Contem Issue;11,37777778
958;GUI;after_commit;2;0;0;0;31;0;41;44;132;0,13;2;Não Contem Issue;15,51515152
959;WardCunningham;morse;0;3;0;0;603;3;7;25;2226;2,17;3;Não Contem Issue;1,380053908
960;AntonyBlakey;smalltalk.tmbundle;0;1;0;0;3;0;2;12;86;0,08;1;Não Contem Issue;11,90697674
961;matthewfallshaw;change_tempo;0;1;0;0;15;1;1;1;268;0,26;1;Não Contem Issue;3,820895522
962;commonthread;flickr_fu;10;19;0;0;9;1;51;219;424;0,41;29;Contem Issue;70,03773585
963;kevinclark;dust;1;1;0;0;72;4;4;67;710;0,69;2;Não Contem Issue;2,884507042
964;cjbottaro;without_callbacks;2;0;0;0;13;0;1;11;90;0,09;2;Não Contem Issue;22,75555556
965;adkron;sinatratumblog;0;1;0;0;59;17;0;3;108;0,11;1;Não Contem Issue;9,481481481
966;ngerakines;erlang_twitter;4;1;0;0;256;74;27;118;189;0,18;5;Não Contem Issue;27,08994709
967;adambair;fu-fu;2;1;0;0;72;54;13;63;1018;0,99;3;Não Contem Issue;3,017681729
968;credmp;color-theme-arjen;0;2;0;0;4;11;1;9;252;0,25;2;Não Contem Issue;8,126984127
969;bchiu;merb_forgery_protection;1;0;0;0;0;0;1;6;125;0,12;1;Não Contem Issue;8,192
970;subwindow;negative-captcha;11;39;0;0;15;17;83;721;336;0,33;50;Contem Issue;152,3809524
971;lackac;callout;1;0;0;0;39;14;0;8;120;0,12;1;Não Contem Issue;8,533333333
972;zeuz;travian;0;1;0;0;0;0;0;1;96;0,09;1;Não Contem Issue;10,66666667
973;myers;id3v2;1;1;0;0;6;7;8;13;230;0,22;2;Não Contem Issue;8,904347826
974;rubyspec;rubyspec;13;302;0;0;0;0;245;667;21531;21,03;315;Contem Issue;14,98118991
975;mutle;fu2;12;126;1;2;70;3;5;11;59426;58,03;138;Contem Issue;2,377949046
976;acangiano;ruby-benchmark-suite;1;10;0;0;9;3;19;166;18500;18,07;11;Contem Issue;0,608864865
977;maiha;dsl_accessor;1;0;0;0;100;12;1;6;159;0,16;1;Não Contem Issue;6,440251572
978;rubyspec;mspec;15;51;0;0;0;0;43;85;1645;1,61;66;Contem Issue;41,08449848
979;ukstudio;acts_as_bits;0;3;0;0;124;75;2;13;292;0,29;3;Não Contem Issue;10,52054795
980;tenderlove;betabrite;1;0;0;0;4440;19;5;11;150;0,15;1;Não Contem Issue;6,826666667
981;ariya;screenie;2;0;0;0;1316;0;8;26;1416;1,38;2;Não Contem Issue;1,446327684
982;72squared;glu-php;0;1;0;0;8;4;0;7;2838;2,77;1;Não Contem Issue;0,360817477
983;mbleigh;subdomain-fu;22;11;0;0;559;32;118;600;249;0,24;33;Contem Issue;135,7108434
984;hoverbird;chance;0;1;0;0;312;119;1;7;270;0,26;1;Não Contem Issue;3,792592593
985;edavis10;redmine;33;32;0;0;373;0;712;2325;67591;66,01;65;Contem Issue;0,98474649
986;robmckinnon;rugalytics;0;2;0;0;69;32;12;115;501;0,49;2;Não Contem Issue;4,087824351
987;yob;pdf-reader;58;90;0;0;94;69;138;787;13193;12,88;148;Contem Issue;11,48730387
988;webmat;git_remote_branch;3;16;0;0;55;76;32;375;467;0,46;19;Contem Issue;41,66167024
989;jstewart;system_messages;0;1;0;0;12;8;9;36;129;0,13;1;Não Contem Issue;7,937984496
990;infews;amaz.infews;1;0;0;0;62;1;0;1;3904;3,81;1;Não Contem Issue;0,262295082
991;mernen;json-jruby;2;8;0;2;14;3;2;23;516;0,5;10;Contem Issue;19,84496124
992;kommen;quikiee;0;1;0;0;33;5;1;8;133;0,13;1;Não Contem Issue;7,69924812
993;chrisa;ruby-dtrace;1;1;0;0;38;12;6;60;648;0,63;2;Não Contem Issue;3,160493827
994;bdarcus;mysite;1;0;0;0;13;0;0;1;164;0,16;1;Não Contem Issue;6,243902439
995;thoughtbot;factory_girl;75;733;0;25;0;0;748;4335;4317;4,22;808;Contem Issue;191,6590225
