UserName;RepositoryName;Login;Name;Type;TipoAjustado;IsDeveloper;IsReporter;DataPrimeiraInteracao;Colunas1
mojombo;grit;fcharlie;Force.Charlie-I;User;REPORTER;false;true;Fri Sep 26 04:35:48 BRT 2014;
mojombo;grit;schmunk42;Tobias Munk;User;REPORTER;false;true;Mon Jul 28 08:57:49 BRT 2014;
mojombo;grit;common-instabug;Common-Instabug;User;REPORTER;false;true;Sun Jun 01 14:20:02 BRT 2014;
mojombo;grit;peff;Jeff King;User;REPORTER;false;true;Fri Dec 23 06:23:30 BRST 2011;
mojombo;grit;lolgear;Dmitry;User;REPORTER;false;true;Tue Feb 25 06:46:11 BRT 2014;
mojombo;grit;bkeepers;Brandon Keepers;User;REPORTER;false;true;Tue Jan 14 18:27:51 BRST 2014;
mojombo;grit;paulRbr;Paul B.;User;REPORTER;false;true;Tue Jan 21 08:56:28 BRST 2014;
mojombo;grit;BertramScharpf;Bertram Scharpf;User;REPORTER;false;true;Thu Jan 09 11:52:18 BRST 2014;
mojombo;grit;derricks;Derrick Schneider;User;REPORTER;false;true;Wed Nov 20 23:35:13 BRST 2013;
mojombo;grit;tsiivola;Tommi Siivola;User;REPORTER;false;true;Tue Oct 15 02:54:52 BRT 2013;
mojombo;grit;covard;Curtis Ovard;User;REPORTER;false;true;Tue Sep 17 13:36:08 BRT 2013;
mojombo;grit;ngpestelos;Nestor G Pestelos Jr;User;REPORTER;false;true;Mon Aug 26 09:02:07 BRT 2013;
mojombo;grit;bf4;Benjamin Fleischer;User;REPORTER;false;true;Tue Aug 13 11:34:40 BRT 2013;
mojombo;grit;trans;7rans;User;REPORTER;false;true;Tue Jun 28 23:42:27 BRT 2011;
mojombo;grit;jessicalevine;Jessica Levine;User;REPORTER;false;true;Thu Jul 11 12:11:18 BRT 2013;
mojombo;grit;alagu;Alagu;User;REPORTER;false;true;Wed Jul 03 20:02:55 BRT 2013;
mojombo;grit;icy;Ky-Anh Huynh;User;REPORTER;false;true;Sun Jun 30 01:26:10 BRT 2013;
mojombo;grit;cococode;null;User;REPORTER;false;true;Thu Jun 27 04:25:37 BRT 2013;
mojombo;grit;coffeencoke;Matt Simpson;User;REPORTER;false;true;Thu Jun 13 02:06:28 BRT 2013;
mojombo;grit;ryosuzuki;Ryo Suzuki;User;REPORTER;false;true;Wed May 29 10:16:30 BRT 2013;
mojombo;grit;duncan-bayne;Duncan Bayne;User;REPORTER;false;true;Wed Apr 17 23:01:50 BRT 2013;
mojombo;grit;teleological;Riley Martinez-Lynch;User;REPORTER;false;true;Sat Apr 13 18:13:42 BRT 2013;
mojombo;grit;jacargentina;Javier Castro;User;REPORTER;false;true;Fri Apr 05 19:06:26 BRT 2013;
mojombo;grit;alup;Andreas Loupasakis;User;REPORTER;false;true;Tue Apr 02 08:59:05 BRT 2013;
mojombo;grit;harrycheung;Harry Cheung;User;REPORTER;false;true;Tue Mar 19 14:43:49 BRT 2013;
mojombo;grit;pwnall;Victor Costan;User;REPORTER;false;true;Mon Oct 11 01:28:16 BRT 2010;
mojombo;grit;jonjohn;Jonathan Johnson;User;REPORTER;false;true;Sat Feb 23 16:45:29 BRT 2013;
mojombo;grit;styx;Mikhail S. Pobolovets;User;REPORTER;false;true;Tue Feb 12 10:13:59 BRST 2013;
mojombo;grit;zonuexe;USAMI Kenta;User;REPORTER;false;true;Sun Feb 03 02:13:45 BRST 2013;
mojombo;grit;hajee;Bert Hajee;User;REPORTER;false;true;Fri Jan 18 19:47:56 BRST 2013;
mojombo;grit;davispuh;D?vis;User;REPORTER;false;true;Wed Jan 16 01:40:51 BRST 2013;
mojombo;grit;poymode;poymode;User;REPORTER;false;true;Fri Jan 04 08:07:33 BRST 2013;
mojombo;grit;ranmocy;Ranmocy Sheng;User;REPORTER;false;true;Fri Dec 28 23:13:51 BRST 2012;
mojombo;grit;shepmaster;Jake Goulding;User;REPORTER;false;true;Sun Dec 02 14:07:09 BRST 2012;
mojombo;grit;dekimsey;Daniel Kimsey;User;REPORTER;false;true;Wed Nov 07 19:35:37 BRST 2012;
mojombo;grit;wernight;Werner Beroux;User;REPORTER;false;true;Tue Oct 23 08:45:21 BRST 2012;
mojombo;grit;hkraji;Haris Krajina;User;REPORTER;false;true;Wed Oct 17 07:59:23 BRT 2012;
mojombo;grit;ekohl;Ewoud Kohl van Wijngaarden;User;REPORTER;false;true;Sun Oct 07 19:29:41 BRT 2012;
mojombo;grit;jakedouglas;Jake Douglas;User;REPORTER;false;true;Wed Oct 03 16:40:04 BRT 2012;
mojombo;grit;zzet;Andrew Kumanyaev;User;REPORTER;false;true;Thu Sep 20 12:27:14 BRT 2012;
mojombo;grit;miketheman;Mike Fiedler;User;REPORTER;false;true;Sun Sep 16 22:04:27 BRT 2012;
mojombo;grit;alexdo;Alexander Dormann;User;REPORTER;false;true;Fri Sep 07 03:42:16 BRT 2012;
mojombo;grit;sbryant;Sean Bryant;User;REPORTER;false;true;Sun Sep 02 17:34:20 BRT 2012;
mojombo;grit;nicolasmccurdy;Nicolas McCurdy;User;REPORTER;false;true;Sun Sep 02 02:43:16 BRT 2012;
mojombo;grit;catz;null;User;REPORTER;false;true;Mon Aug 20 11:11:05 BRT 2012;
mojombo;grit;hcayless;Hugh A. Cayless;User;REPORTER;false;true;Wed Aug 15 22:35:33 BRT 2012;
mojombo;grit;wizztjh;TEE JIA HEN;User;REPORTER;false;true;Tue Aug 07 03:13:51 BRT 2012;
mojombo;grit;akzhan;Akzhan Abdulin;User;REPORTER;false;true;Thu Aug 02 10:55:22 BRT 2012;
mojombo;grit;CodeGnome;Todd A. Jacobs;User;REPORTER;false;true;Mon Jul 16 17:36:24 BRT 2012;
mojombo;grit;tonini;Samuel Tonini;User;REPORTER;false;true;Tue Jul 10 06:45:37 BRT 2012;
mojombo;grit;Vanuan;John Yani;User;REPORTER;false;true;Fri Jul 06 16:41:58 BRT 2012;
mojombo;grit;technoweenie;risk danger olson;User;REPORTER;false;true;Tue Apr 20 16:37:41 BRT 2010;
mojombo;grit;jonmagic;Jonathan Hoyt;User;REPORTER;false;true;Wed Jun 27 23:00:28 BRT 2012;
mojombo;grit;aceofspades;Doug Puchalski;User;REPORTER;false;true;Fri Mar 02 17:54:02 BRT 2012;
mojombo;grit;stereobooster;null;User;REPORTER;false;true;Wed Jun 20 11:49:22 BRT 2012;
mojombo;grit;nathanvda;Nathan Van der Auwera;User;REPORTER;false;true;Sat Jun 02 21:57:01 BRT 2012;
mojombo;grit;snowyu;Riceball LEE;User;REPORTER;false;true;Thu May 24 06:10:58 BRT 2012;
mojombo;grit;clowder;Chris Lowder;User;REPORTER;false;true;Wed May 23 14:06:33 BRT 2012;
mojombo;grit;SaitoWu;Xin Wu;User;REPORTER;false;true;Mon May 21 03:17:40 BRT 2012;
mojombo;grit;piotreq;null;User;REPORTER;false;true;Tue May 15 06:25:34 BRT 2012;
mojombo;grit;joliss;Jo Liss;User;REPORTER;false;true;Sat May 05 16:06:14 BRT 2012;
mojombo;grit;pda;Paul Annesley;User;REPORTER;false;true;Fri Apr 27 01:50:54 BRT 2012;
mojombo;grit;gamemachine;Chris Ochs;User;REPORTER;false;true;Mon Apr 23 19:49:17 BRT 2012;
mojombo;grit;sotarok;Sotaro KARASAWA;User;REPORTER;false;true;Fri Apr 20 15:40:17 BRT 2012;
mojombo;grit;RomainMuller;Romain Muller;User;REPORTER;false;true;Tue Mar 27 05:30:03 BRT 2012;
mojombo;grit;runemadsen;Rune Skjoldborg Madsen;User;REPORTER;false;true;Tue Mar 13 23:00:42 BRT 2012;
mojombo;grit;levinotik;Levi Notik;User;REPORTER;false;true;Fri Mar 02 13:48:31 BRT 2012;
mojombo;grit;cespare;Caleb Spare;User;REPORTER;false;true;Tue Feb 07 10:31:35 BRST 2012;
mojombo;grit;mizzy;Gosuke Miyashita;User;REPORTER;false;true;Sat Dec 03 11:10:08 BRST 2011;
mojombo;grit;kulpae;Paul Koch;User;REPORTER;false;true;Tue Nov 22 14:25:32 BRST 2011;
mojombo;grit;stevendaniels;Steven Daniels;User;REPORTER;false;true;Sun Nov 13 03:43:06 BRST 2011;
mojombo;grit;Zazcallabah;Peter Hamberg;User;REPORTER;false;true;Thu Oct 20 10:40:57 BRST 2011;
mojombo;grit;blambeau;Bernard Lambeau;User;REPORTER;false;true;Fri Oct 14 13:05:51 BRT 2011;
mojombo;grit;sent-hil;Senthil Arivudainambi;User;REPORTER;false;true;Sat Oct 08 05:18:59 BRT 2011;
mojombo;grit;ef4;Edward Faulkner;User;REPORTER;false;true;Wed Aug 24 13:39:10 BRT 2011;
mojombo;grit;kpumuk;Dmytro Shteflyuk;User;REPORTER;false;true;Thu Sep 15 14:08:30 BRT 2011;
mojombo;grit;franz;Michal Babej;User;REPORTER;false;true;Wed Sep 14 13:03:30 BRT 2011;
mojombo;grit;simonc;Simon Courtois;User;REPORTER;false;true;Wed Aug 31 12:49:39 BRT 2011;
mojombo;grit;gorenje;Gerrit Riessen;User;REPORTER;false;true;Mon Aug 29 04:05:18 BRT 2011;
mojombo;grit;pksunkara;Pavan Kumar Sunkara;User;REPORTER;false;true;Fri Aug 19 17:50:16 BRT 2011;
mojombo;grit;graaff;Hans de Graaff;User;REPORTER;false;true;Mon Aug 15 09:43:38 BRT 2011;
mojombo;grit;tanob;Adriano Bonat;User;REPORTER;false;true;Sat Aug 13 21:32:31 BRT 2011;
mojombo;grit;zaeleus;Michael Macias;User;REPORTER;false;true;Thu Aug 04 22:13:04 BRT 2011;
mojombo;grit;ghost;Deleted user;User;REPORTER;false;true;Tue Aug 02 03:06:59 BRT 2011;
